epi_week,disease,number_of_cases
2014-W08,Legionellosis,1
2014-W08,Malaria,0
2014-W08,Measles,8
2014-W08,Melioidosis,0
2014-W08,Meningococcal Infection,0
2014-W08,Mumps,11
2014-W08,Nipah virus infection,0
2014-W08,Paratyphoid,0
2014-W08,Pertussis,0
2014-W08,Plague,0
2014-W08,Pneumococcal Disease (invasive),2
2014-W08,Poliomyelitis,0
2014-W08,Rubella,2
2014-W08,Salmonellosis(non-enteric fevers),21
2014-W08,SARS,0
2014-W08,Typhoid,0
2014-W08,Viral Hepatitis A,2
2014-W08,Viral Hepatitis E,1
2014-W08,Yellow Fever,0
2014-W09,Acute Viral hepatitis B,3
2014-W09,Acute Viral hepatitis C,0
2014-W09,Avian Influenza,0
2014-W09,Campylobacterenterosis,12
2014-W09,Chikungunya Fever,3
2014-W09,Cholera,0
2014-W09,Dengue Fever,186
2014-W09,Dengue Haemorrhagic Fever,1
2014-W09,Diphtheria,0
2014-W09,Encephalitis,1
2014-W09,Haemophilus influenzae type b,1
2014-W09,"Hand, Foot Mouth Disease",331
2014-W09,Legionellosis,2
2014-W09,Malaria,0
2014-W09,Measles,8
2014-W09,Melioidosis,0
2014-W09,Meningococcal Infection,0
2014-W09,Mumps,14
2014-W09,Nipah virus infection,0
2014-W09,Paratyphoid,0
2014-W09,Pertussis,0
2014-W09,Plague,0
2014-W09,Pneumococcal Disease (invasive),4
2014-W09,Poliomyelitis,0
2014-W09,Rubella,0
2014-W09,Salmonellosis(non-enteric fevers),23
2014-W09,SARS,0
2014-W09,Typhoid,2
2014-W09,Viral Hepatitis A,2
2014-W09,Viral Hepatitis E,1
2014-W09,Yellow Fever,0
2014-W10,Acute Viral hepatitis B,0
2014-W10,Acute Viral hepatitis C,0
2014-W10,Avian Influenza,0
2014-W10,Campylobacterenterosis,3
2014-W10,Chikungunya Fever,3
2014-W10,Cholera,0
2014-W10,Dengue Fever,209
2014-W10,Dengue Haemorrhagic Fever,1
2014-W10,Diphtheria,0
2014-W10,Encephalitis,0
2014-W10,Haemophilus influenzae type b,0
2014-W10,"Hand, Foot Mouth Disease",321
2014-W10,Legionellosis,0
2014-W10,Malaria,0
2014-W10,Measles,5
2014-W10,Melioidosis,1
2014-W10,Meningococcal Infection,0
2014-W10,Mumps,2
2014-W10,Nipah virus infection,0
2014-W10,Paratyphoid,1
2014-W10,Pertussis,0
2014-W10,Plague,0
2014-W10,Pneumococcal Disease (invasive),5
2014-W10,Poliomyelitis,0
2014-W10,Rubella,0
2014-W10,Salmonellosis(non-enteric fevers),22
2014-W10,SARS,0
2014-W10,Typhoid,4
2014-W10,Viral Hepatitis A,1
2014-W10,Viral Hepatitis E,1
2014-W10,Yellow Fever,0
2014-W11,Acute Viral hepatitis B,1
2014-W11,Acute Viral hepatitis C,0
2014-W11,Avian Influenza,0
2014-W11,Campylobacterenterosis,11
2014-W11,Chikungunya Fever,5
2014-W11,Cholera,0
2014-W11,Dengue Fever,224
2014-W11,Dengue Haemorrhagic Fever,1
2014-W11,Diphtheria,0
2014-W11,Encephalitis,0
2014-W11,Haemophilus influenzae type b,0
2014-W11,"Hand, Foot Mouth Disease",309
2014-W11,Legionellosis,0
2014-W11,Malaria,1
2014-W11,Measles,5
2014-W11,Melioidosis,0
2014-W11,Meningococcal Infection,1
2014-W11,Mumps,12
2014-W11,Nipah virus infection,0
2014-W11,Paratyphoid,2
2014-W11,Pertussis,0
2014-W11,Plague,0
2014-W11,Pneumococcal Disease (invasive),2
2014-W11,Poliomyelitis,0
2014-W11,Rubella,1
2014-W11,Salmonellosis(non-enteric fevers),36
2014-W11,SARS,0
2014-W11,Typhoid,1
2014-W11,Viral Hepatitis A,0
2014-W11,Viral Hepatitis E,1
2014-W11,Yellow Fever,0
2014-W12,Acute Viral hepatitis B,3
2014-W12,Acute Viral hepatitis C,1
2014-W12,Avian Influenza,0
2014-W12,Campylobacterenterosis,11
2014-W12,Chikungunya Fever,2
2014-W12,Cholera,0
2014-W12,Dengue Fever,210
2014-W12,Dengue Haemorrhagic Fever,0
2014-W12,Diphtheria,0
2014-W12,Encephalitis,1
2014-W12,Haemophilus influenzae type b,0
2014-W12,"Hand, Foot Mouth Disease",247
2014-W12,Legionellosis,0
2014-W12,Malaria,2
2014-W12,Measles,3
2014-W12,Melioidosis,0
2014-W12,Meningococcal Infection,0
2014-W12,Mumps,7
2014-W12,Nipah virus infection,0
2014-W12,Paratyphoid,1
2014-W12,Pertussis,0
2014-W12,Plague,0
2014-W12,Pneumococcal Disease (invasive),0
2014-W12,Poliomyelitis,0
2014-W12,Rubella,0
2014-W12,Salmonellosis(non-enteric fevers),40
2014-W12,SARS,0
2014-W12,Typhoid,1
2014-W12,Viral Hepatitis A,2
2014-W12,Viral Hepatitis E,1
2014-W12,Yellow Fever,0
2014-W13,Acute Viral hepatitis B,3
2014-W13,Acute Viral hepatitis C,2
2014-W13,Avian Influenza,0
2014-W13,Campylobacterenterosis,10
2014-W13,Chikungunya Fever,1
2014-W13,Cholera,0
2014-W13,Dengue Fever,225
2014-W13,Dengue Haemorrhagic Fever,0
2014-W13,Diphtheria,0
2014-W13,Encephalitis,0
2014-W13,Haemophilus influenzae type b,0
2014-W13,"Hand, Foot Mouth Disease",312
2014-W13,Legionellosis,2
2014-W13,Malaria,3
2014-W13,Measles,2
2014-W13,Melioidosis,0
2014-W13,Meningococcal Infection,1
2014-W13,Mumps,18
2014-W13,Nipah virus infection,0
2014-W13,Paratyphoid,0
2014-W13,Pertussis,0
2014-W13,Plague,0
2014-W13,Pneumococcal Disease (invasive),2
2014-W13,Poliomyelitis,0
2014-W13,Rubella,3
2014-W13,Salmonellosis(non-enteric fevers),42
2014-W13,SARS,0
2014-W13,Typhoid,2
2014-W13,Viral Hepatitis A,1
2014-W13,Viral Hepatitis E,1
2014-W13,Yellow Fever,0
2014-W14,Acute Viral hepatitis B,3
2014-W14,Acute Viral hepatitis C,0
2014-W14,Avian Influenza,0
2014-W14,Campylobacterenterosis,14
2014-W14,Chikungunya Fever,1
2014-W14,Cholera,0
2014-W14,Dengue Fever,240
2014-W14,Dengue Haemorrhagic Fever,0
2014-W14,Diphtheria,0
2014-W14,Encephalitis,0
2014-W14,Haemophilus influenzae type b,0
2014-W14,"Hand, Foot Mouth Disease",341
2014-W14,Legionellosis,0
2014-W14,Malaria,0
2014-W14,Measles,3
2014-W14,Melioidosis,0
2014-W14,Meningococcal Infection,0
2014-W14,Mumps,9
2014-W14,Nipah virus infection,0
2014-W14,Paratyphoid,0
2014-W14,Pertussis,1
2014-W14,Plague,0
2014-W14,Pneumococcal Disease (invasive),3
2014-W14,Poliomyelitis,0
2014-W14,Rubella,0
2014-W14,Salmonellosis(non-enteric fevers),44
2014-W14,SARS,0
2014-W14,Typhoid,2
2014-W14,Viral Hepatitis A,1
2014-W14,Viral Hepatitis E,3
2014-W14,Yellow Fever,0
2014-W15,Acute Viral hepatitis B,4
2014-W15,Acute Viral hepatitis C,1
2014-W15,Avian Influenza,0
2014-W15,Campylobacterenterosis,6
2014-W15,Chikungunya Fever,1
2014-W15,Cholera,0
2014-W15,Dengue Fever,244
2014-W15,Dengue Haemorrhagic Fever,1
2014-W15,Diphtheria,0
2014-W15,Encephalitis,1
2014-W15,Haemophilus influenzae type b,0
2014-W15,"Hand, Foot Mouth Disease",312
2014-W15,Legionellosis,1
2014-W15,Malaria,0
2014-W15,Measles,3
2014-W15,Melioidosis,0
2014-W15,Meningococcal Infection,0
2014-W15,Mumps,17
2014-W15,Nipah virus infection,0
2014-W15,Paratyphoid,0
2014-W15,Pertussis,0
2014-W15,Plague,0
2014-W15,Pneumococcal Disease (invasive),2
2014-W15,Poliomyelitis,0
2014-W15,Rubella,0
2014-W15,Salmonellosis(non-enteric fevers),41
2014-W15,SARS,0
2014-W15,Typhoid,1
2014-W15,Viral Hepatitis A,1
2014-W15,Viral Hepatitis E,2
2014-W15,Yellow Fever,0
2014-W16,Acute Viral hepatitis B,1
2014-W16,Acute Viral hepatitis C,3
2014-W16,Avian Influenza,0
2014-W16,Campylobacterenterosis,6
2014-W16,Chikungunya Fever,2
2014-W16,Cholera,0
2014-W16,Dengue Fever,235
2014-W16,Dengue Haemorrhagic Fever,0
2014-W16,Diphtheria,0
2014-W16,Encephalitis,1
2014-W16,Haemophilus influenzae type b,0
2014-W16,"Hand, Foot Mouth Disease",348
2014-W16,Legionellosis,1
2014-W16,Malaria,4
2014-W16,Measles,1
2014-W16,Melioidosis,1
2014-W16,Meningococcal Infection,0
2014-W16,Mumps,6
2014-W16,Nipah virus infection,0
2014-W16,Paratyphoid,1
2014-W16,Pertussis,1
2014-W16,Plague,0
2014-W16,Pneumococcal Disease (invasive),2
2014-W16,Poliomyelitis,0
2014-W16,Rubella,3
2014-W16,Salmonellosis(non-enteric fevers),40
2014-W16,SARS,0
2014-W16,Typhoid,0
2014-W16,Viral Hepatitis A,2
2014-W16,Viral Hepatitis E,2
2014-W16,Yellow Fever,0
2014-W17,Acute Viral hepatitis B,1
2014-W17,Acute Viral hepatitis C,5
2014-W17,Avian Influenza,0
2014-W17,Campylobacterenterosis,19
2014-W17,Chikungunya Fever,2
2014-W17,Cholera,0
2014-W17,Dengue Fever,282
2014-W17,Dengue Haemorrhagic Fever,0
2014-W17,Diphtheria,0
2014-W17,Encephalitis,0
2014-W17,Haemophilus influenzae type b,0
2014-W17,"Hand, Foot Mouth Disease",480
2014-W17,Legionellosis,0
2014-W17,Malaria,3
2014-W17,Measles,8
2014-W17,Melioidosis,0
2014-W17,Meningococcal Infection,0
2014-W17,Mumps,12
2014-W17,Nipah virus infection,0
2014-W17,Paratyphoid,3
2014-W17,Pertussis,1
2014-W17,Plague,0
2014-W17,Pneumococcal Disease (invasive),0
2014-W17,Poliomyelitis,0
2014-W17,Rubella,1
2014-W17,Salmonellosis(non-enteric fevers),42
2014-W17,SARS,0
2014-W17,Typhoid,2
2014-W17,Viral Hepatitis A,3
2014-W17,Viral Hepatitis E,3
2014-W17,Yellow Fever,0
2014-W18,Acute Viral hepatitis B,0
2014-W18,Acute Viral hepatitis C,2
2014-W18,Avian Influenza,0
2014-W18,Campylobacterenterosis,14
2014-W18,Chikungunya Fever,1
2014-W18,Cholera,0
2014-W18,Dengue Fever,251
2014-W18,Dengue Haemorrhagic Fever,0
2014-W18,Diphtheria,0
2014-W18,Encephalitis,2
2014-W18,Haemophilus influenzae type b,0
2014-W18,"Hand, Foot Mouth Disease",557
2014-W18,Legionellosis,0
2014-W18,Malaria,1
2014-W18,Measles,7
2014-W18,Melioidosis,1
2014-W18,Meningococcal Infection,1
2014-W18,Mumps,9
2014-W18,Nipah virus infection,0
2014-W18,Paratyphoid,0
2014-W18,Pertussis,0
2014-W18,Plague,0
2014-W18,Pneumococcal Disease (invasive),2
2014-W18,Poliomyelitis,0
2014-W18,Rubella,0
2014-W18,Salmonellosis(non-enteric fevers),50
2014-W18,SARS,0
2014-W18,Typhoid,2
2014-W18,Viral Hepatitis A,1
2014-W18,Viral Hepatitis E,0
2014-W18,Yellow Fever,0
2014-W19,Acute Viral hepatitis B,3
2014-W19,Acute Viral hepatitis C,1
2014-W19,Avian Influenza,0
2014-W19,Campylobacterenterosis,15
2014-W19,Chikungunya Fever,1
2014-W19,Cholera,0
2014-W19,Dengue Fever,261
2014-W19,Dengue Haemorrhagic Fever,0
2014-W19,Diphtheria,0
2014-W19,Encephalitis,1
2014-W19,Haemophilus influenzae type b,0
2014-W19,"Hand, Foot Mouth Disease",628
2014-W19,Legionellosis,0
2014-W19,Malaria,0
2014-W19,Measles,3
2014-W19,Melioidosis,3
2014-W19,Meningococcal Infection,0
2014-W19,Mumps,4
2014-W19,Nipah virus infection,0
2014-W19,Paratyphoid,0
2014-W19,Pertussis,1
2014-W19,Plague,0
2014-W19,Pneumococcal Disease (invasive),2
2014-W19,Poliomyelitis,0
2014-W19,Rubella,0
2014-W19,Salmonellosis(non-enteric fevers),47
2014-W19,SARS,0
2014-W19,Typhoid,1
2014-W19,Viral Hepatitis A,1
2014-W19,Viral Hepatitis E,0
2014-W19,Yellow Fever,0
2014-W20,Acute Viral hepatitis B,4
2014-W20,Acute Viral hepatitis C,0
2014-W20,Avian Influenza,0
2014-W20,Campylobacterenterosis,13
2014-W20,Chikungunya Fever,4
2014-W20,Cholera,0
2014-W20,Dengue Fever,291
2014-W20,Dengue Haemorrhagic Fever,0
2014-W20,Diphtheria,0
2014-W20,Encephalitis,0
2014-W20,Haemophilus influenzae type b,1
2014-W20,"Hand, Foot Mouth Disease",663
2014-W20,Legionellosis,1
2014-W20,Malaria,1
2014-W20,Measles,3
2014-W20,Melioidosis,0
2014-W20,Meningococcal Infection,0
2014-W20,Mumps,10
2014-W20,Nipah virus infection,0
2014-W20,Paratyphoid,1
2014-W20,Pertussis,3
2014-W20,Plague,0
2014-W20,Pneumococcal Disease (invasive),1
2014-W20,Poliomyelitis,0
2014-W20,Rubella,0
2014-W20,Salmonellosis(non-enteric fevers),38
2014-W20,SARS,0
2014-W20,Typhoid,4
2014-W20,Viral Hepatitis A,2
2014-W20,Viral Hepatitis E,3
2014-W20,Yellow Fever,0
2014-W21,Acute Viral hepatitis B,2
2014-W21,Acute Viral hepatitis C,0
2014-W21,Avian Influenza,0
2014-W21,Campylobacterenterosis,11
2014-W21,Chikungunya Fever,1
2014-W21,Cholera,0
2014-W21,Dengue Fever,427
2014-W21,Dengue Haemorrhagic Fever,1
2014-W21,Diphtheria,0
2014-W21,Encephalitis,0
2014-W21,Haemophilus influenzae type b,0
2014-W21,"Hand, Foot Mouth Disease",683
2014-W21,Legionellosis,1
2014-W21,Malaria,0
2014-W21,Measles,3
2014-W21,Melioidosis,1
2014-W21,Meningococcal Infection,0
2014-W21,Mumps,6
2014-W21,Nipah virus infection,0
2014-W21,Paratyphoid,0
2014-W21,Pertussis,0
2014-W21,Plague,0
2014-W21,Pneumococcal Disease (invasive),2
2014-W21,Poliomyelitis,0
2014-W21,Rubella,0
2014-W21,Salmonellosis(non-enteric fevers),56
2014-W21,SARS,0
2014-W21,Typhoid,1
2014-W21,Viral Hepatitis A,1
2014-W21,Viral Hepatitis E,0
2014-W21,Yellow Fever,0
2014-W22,Acute Viral hepatitis B,1
2014-W22,Acute Viral hepatitis C,1
2014-W22,Avian Influenza,0
2014-W22,Campylobacterenterosis,13
2014-W22,Chikungunya Fever,1
2014-W22,Cholera,0
2014-W22,Dengue Fever,456
2014-W22,Dengue Haemorrhagic Fever,0
2014-W22,Diphtheria,0
2014-W22,Encephalitis,1
2014-W22,Haemophilus influenzae type b,0
2014-W22,"Hand, Foot Mouth Disease",793
2014-W22,Legionellosis,1
2014-W22,Malaria,1
2014-W22,Measles,1
2014-W22,Melioidosis,4
2014-W22,Meningococcal Infection,0
2014-W22,Mumps,6
2014-W22,Nipah virus infection,0
2014-W22,Paratyphoid,1
2014-W22,Pertussis,1
2014-W22,Plague,0
2014-W22,Pneumococcal Disease (invasive),2
2014-W22,Poliomyelitis,0
2014-W22,Rubella,0
2014-W22,Salmonellosis(non-enteric fevers),55
2014-W22,SARS,0
2014-W22,Typhoid,2
2014-W22,Viral Hepatitis A,1
2014-W22,Viral Hepatitis E,2
2014-W22,Yellow Fever,0
2014-W23,Acute Viral hepatitis B,4
2014-W23,Acute Viral hepatitis C,0
2014-W23,Avian Influenza,0
2014-W23,Campylobacterenterosis,10
2014-W23,Chikungunya Fever,3
2014-W23,Cholera,0
2014-W23,Dengue Fever,458
2014-W23,Dengue Haemorrhagic Fever,1
2014-W23,Diphtheria,0
2014-W23,Encephalitis,1
2014-W23,Haemophilus influenzae type b,0
2014-W23,"Hand, Foot Mouth Disease",689
2014-W23,Legionellosis,1
2014-W23,Malaria,2
2014-W23,Measles,1
2014-W23,Melioidosis,0
2014-W23,Meningococcal Infection,0
2014-W23,Mumps,8
2014-W23,Nipah virus infection,0
2014-W23,Paratyphoid,0
2014-W23,Pertussis,1
2014-W23,Plague,0
2014-W23,Pneumococcal Disease (invasive),3
2014-W23,Poliomyelitis,0
2014-W23,Rubella,1
2014-W23,Salmonellosis(non-enteric fevers),47
2014-W23,SARS,0
2014-W23,Typhoid,0
2014-W23,Viral Hepatitis A,0
2014-W23,Viral Hepatitis E,0
2014-W23,Yellow Fever,0
2014-W24,Acute Viral hepatitis B,3
2014-W24,Acute Viral hepatitis C,0
2014-W24,Avian Influenza,0
2014-W24,Campylobacterenterosis,11
2014-W24,Chikungunya Fever,3
2014-W24,Cholera,0
2014-W24,Dengue Fever,506
2014-W24,Dengue Haemorrhagic Fever,0
2014-W24,Diphtheria,0
2014-W24,Encephalitis,1
2014-W24,Haemophilus influenzae type b,0
2014-W24,"Hand, Foot Mouth Disease",521
2014-W24,Legionellosis,2
2014-W24,Malaria,1
2014-W24,Measles,1
2014-W24,Melioidosis,0
2014-W24,Meningococcal Infection,0
2014-W24,Mumps,7
2014-W24,Nipah virus infection,0
2014-W24,Paratyphoid,1
2014-W24,Pertussis,0
2014-W24,Plague,0
2014-W24,Pneumococcal Disease (invasive),2
2014-W24,Poliomyelitis,0
2014-W24,Rubella,0
2014-W24,Salmonellosis(non-enteric fevers),41
2014-W24,SARS,0
2014-W24,Typhoid,1
2014-W24,Viral Hepatitis A,0
2014-W24,Viral Hepatitis E,3
2014-W24,Yellow Fever,0
2014-W25,Acute Viral hepatitis B,1
2014-W25,Acute Viral hepatitis C,1
2014-W25,Avian Influenza,0
2014-W25,Campylobacterenterosis,7
2014-W25,Chikungunya Fever,2
2014-W25,Cholera,1
2014-W25,Dengue Fever,550
2014-W25,Dengue Haemorrhagic Fever,1
2014-W25,Diphtheria,0
2014-W25,Encephalitis,0
2014-W25,Haemophilus influenzae type b,0
2014-W25,"Hand, Foot Mouth Disease",473
2014-W25,Legionellosis,0
2014-W25,Malaria,3
2014-W25,Measles,0
2014-W25,Melioidosis,1
2014-W25,Meningococcal Infection,0
2014-W25,Mumps,8
2014-W25,Nipah virus infection,0
2014-W25,Paratyphoid,1
2014-W25,Pertussis,1
2014-W25,Plague,0
2014-W25,Pneumococcal Disease (invasive),0
2014-W25,Poliomyelitis,0
2014-W25,Rubella,1
2014-W25,Salmonellosis(non-enteric fevers),47
2014-W25,SARS,0
2014-W25,Typhoid,2
2014-W25,Viral Hepatitis A,2
2014-W25,Viral Hepatitis E,2
2014-W25,Yellow Fever,0
2014-W26,Acute Viral hepatitis B,0
2014-W26,Acute Viral hepatitis C,1
2014-W26,Avian Influenza,0
2014-W26,Campylobacterenterosis,4
2014-W26,Chikungunya Fever,1
2014-W26,Cholera,0
2014-W26,Dengue Fever,671
2014-W26,Dengue Haemorrhagic Fever,0
2014-W26,Diphtheria,0
2014-W26,Encephalitis,0
2014-W26,Haemophilus influenzae type b,0
2014-W26,"Hand, Foot Mouth Disease",431
2014-W26,Legionellosis,3
2014-W26,Malaria,2
2014-W26,Measles,3
2014-W26,Melioidosis,1
2014-W26,Meningococcal Infection,0
2014-W26,Mumps,7
2014-W26,Nipah virus infection,0
2014-W26,Paratyphoid,0
2014-W26,Pertussis,0
2014-W26,Plague,0
2014-W26,Pneumococcal Disease (invasive),4
2014-W26,Poliomyelitis,0
2014-W26,Rubella,1
2014-W26,Salmonellosis(non-enteric fevers),50
2014-W26,SARS,0
2014-W26,Typhoid,0
2014-W26,Viral Hepatitis A,0
2014-W26,Viral Hepatitis E,1
2014-W26,Yellow Fever,0
2014-W27,Acute Viral hepatitis B,4
2014-W27,Acute Viral hepatitis C,0
2014-W27,Avian Influenza,0
2014-W27,Campylobacterenterosis,9
2014-W27,Chikungunya Fever,1
2014-W27,Cholera,0
2014-W27,Dengue Fever,888
2014-W27,Dengue Haemorrhagic Fever,3
2014-W27,Diphtheria,0
2014-W27,Encephalitis,0
2014-W27,Haemophilus influenzae type b,0
2014-W27,"Hand, Foot Mouth Disease",369
2014-W27,Legionellosis,1
2014-W27,Malaria,1
2014-W27,Measles,2
2014-W27,Melioidosis,0
2014-W27,Meningococcal Infection,1
2014-W27,Mumps,7
2014-W27,Nipah virus infection,0
2014-W27,Paratyphoid,0
2014-W27,Pertussis,0
2014-W27,Plague,0
2014-W27,Pneumococcal Disease (invasive),3
2014-W27,Poliomyelitis,0
2014-W27,Rubella,1
2014-W27,Salmonellosis(non-enteric fevers),40
2014-W27,SARS,0
2014-W27,Typhoid,2
2014-W27,Viral Hepatitis A,2
2014-W27,Viral Hepatitis E,0
2014-W27,Yellow Fever,0
2014-W28,Acute Viral hepatitis B,3
2014-W28,Acute Viral hepatitis C,2
2014-W28,Avian Influenza,0
2014-W28,Campylobacterenterosis,10
2014-W28,Chikungunya Fever,2
2014-W28,Cholera,0
2014-W28,Dengue Fever,818
2014-W28,Dengue Haemorrhagic Fever,1
2014-W28,Diphtheria,0
2014-W28,Encephalitis,1
2014-W28,Haemophilus influenzae type b,0
2014-W28,"Hand, Foot Mouth Disease",430
2014-W28,Legionellosis,0
2014-W28,Malaria,3
2014-W28,Measles,4
2014-W28,Melioidosis,2
2014-W28,Meningococcal Infection,0
2014-W28,Mumps,5
2014-W28,Nipah virus infection,0
2014-W28,Paratyphoid,1
2014-W28,Pertussis,0
2014-W28,Plague,0
2014-W28,Pneumococcal Disease (invasive),4
2014-W28,Poliomyelitis,0
2014-W28,Rubella,0
2014-W28,Salmonellosis(non-enteric fevers),46
2014-W28,SARS,0
2014-W28,Typhoid,2
2014-W28,Viral Hepatitis A,0
2014-W28,Viral Hepatitis E,2
2014-W28,Yellow Fever,0
2014-W29,Acute Viral hepatitis B,2
2014-W29,Acute Viral hepatitis C,1
2014-W29,Avian Influenza,0
2014-W29,Campylobacterenterosis,6
2014-W29,Chikungunya Fever,0
2014-W29,Cholera,0
2014-W29,Dengue Fever,744
2014-W29,Dengue Haemorrhagic Fever,2
2014-W29,Diphtheria,0
2014-W29,Encephalitis,2
2014-W29,Haemophilus influenzae type b,0
2014-W29,"Hand, Foot Mouth Disease",426
2014-W29,Legionellosis,1
2014-W29,Malaria,1
2014-W29,Measles,3
2014-W29,Melioidosis,1
2014-W29,Meningococcal Infection,0
2014-W29,Mumps,11
2014-W29,Nipah virus infection,0
2014-W29,Paratyphoid,0
2014-W29,Pertussis,0
2014-W29,Plague,0
2014-W29,Pneumococcal Disease (invasive),1
2014-W29,Poliomyelitis,0
2014-W29,Rubella,1
2014-W29,Salmonellosis(non-enteric fevers),38
2014-W29,SARS,0
2014-W29,Typhoid,1
2014-W29,Viral Hepatitis A,1
2014-W29,Viral Hepatitis E,3
2014-W29,Yellow Fever,0
2014-W30,Acute Viral hepatitis B,1
2014-W30,Acute Viral hepatitis C,3
2014-W30,Avian Influenza,0
2014-W30,Campylobacterenterosis,7
2014-W30,Chikungunya Fever,2
2014-W30,Cholera,0
2014-W30,Dengue Fever,633
2014-W30,Dengue Haemorrhagic Fever,1
2014-W30,Diphtheria,0
2014-W30,Encephalitis,1
2014-W30,Haemophilus influenzae type b,0
2014-W30,"Hand, Foot Mouth Disease",393
2014-W30,Legionellosis,0
2014-W30,Malaria,1
2014-W30,Measles,3
2014-W30,Melioidosis,1
2014-W30,Meningococcal Infection,0
2014-W30,Mumps,11
2014-W30,Nipah virus infection,0
2014-W30,Paratyphoid,0
2014-W30,Pertussis,1
2014-W30,Plague,0
2014-W30,Pneumococcal Disease (invasive),2
2014-W30,Poliomyelitis,0
2014-W30,Rubella,0
2014-W30,Salmonellosis(non-enteric fevers),35
2014-W30,SARS,0
2014-W30,Typhoid,0
2014-W30,Viral Hepatitis A,1
2014-W30,Viral Hepatitis E,0
2014-W30,Yellow Fever,0
2014-W31,Acute Viral hepatitis B,5
2014-W31,Acute Viral hepatitis C,3
2014-W31,Avian Influenza,0
2014-W31,Campylobacterenterosis,5
2014-W31,Chikungunya Fever,1
2014-W31,Cholera,0
2014-W31,Dengue Fever,484
2014-W31,Dengue Haemorrhagic Fever,0
2014-W31,Diphtheria,0
2014-W31,Encephalitis,0
2014-W31,Haemophilus influenzae type b,0
2014-W31,"Hand, Foot Mouth Disease",338
2014-W31,Legionellosis,2
2014-W31,Malaria,1
2014-W31,Measles,0
2014-W31,Melioidosis,1
2014-W31,Meningococcal Infection,0
2014-W31,Mumps,9
2014-W31,Nipah virus infection,0
2014-W31,Paratyphoid,0
2014-W31,Pertussis,1
2014-W31,Plague,0
2014-W31,Pneumococcal Disease (invasive),2
2014-W31,Poliomyelitis,0
2014-W31,Rubella,1
2014-W31,Salmonellosis(non-enteric fevers),42
2014-W31,SARS,0
2014-W31,Typhoid,2
2014-W31,Viral Hepatitis A,1
2014-W31,Viral Hepatitis E,3
2014-W31,Yellow Fever,0
2014-W32,Acute Viral hepatitis B,4
2014-W32,Acute Viral hepatitis C,2
2014-W32,Avian Influenza,0
2014-W32,Campylobacterenterosis,14
2014-W32,Chikungunya Fever,0
2014-W32,Cholera,0
2014-W32,Dengue Fever,545
2014-W32,Dengue Haemorrhagic Fever,0
2014-W32,Diphtheria,0
2014-W32,Encephalitis,0
2014-W32,Haemophilus influenzae type b,0
2014-W32,"Hand, Foot Mouth Disease",422
2014-W32,Legionellosis,0
2014-W32,Malaria,1
2014-W32,Measles,4
2014-W32,Melioidosis,1
2014-W32,Meningococcal Infection,0
2014-W32,Mumps,10
2014-W32,Nipah virus infection,0
2014-W32,Paratyphoid,0
2014-W32,Pertussis,0
2014-W32,Plague,0
2014-W32,Pneumococcal Disease (invasive),2
2014-W32,Poliomyelitis,0
2014-W32,Rubella,0
2014-W32,Salmonellosis(non-enteric fevers),35
2014-W32,SARS,0
2014-W32,Typhoid,1
2014-W32,Viral Hepatitis A,3
2014-W32,Viral Hepatitis E,4
2014-W32,Yellow Fever,0
2014-W33,Acute Viral hepatitis B,1
2014-W33,Acute Viral hepatitis C,1
2014-W33,Avian Influenza,0
2014-W33,Campylobacterenterosis,4
2014-W33,Chikungunya Fever,3
2014-W33,Cholera,0
2014-W33,Dengue Fever,438
2014-W33,Dengue Haemorrhagic Fever,0
2014-W33,Diphtheria,0
2014-W33,Encephalitis,1
2014-W33,Haemophilus influenzae type b,0
2014-W33,"Hand, Foot Mouth Disease",446
2014-W33,Legionellosis,0
2014-W33,Malaria,4
2014-W33,Measles,2
2014-W33,Melioidosis,1
2014-W33,Meningococcal Infection,0
2014-W33,Mumps,8
2014-W33,Nipah virus infection,0
2014-W33,Paratyphoid,1
2014-W33,Pertussis,0
2014-W33,Plague,0
2014-W33,Pneumococcal Disease (invasive),4
2014-W33,Poliomyelitis,0
2014-W33,Rubella,0
2014-W33,Salmonellosis(non-enteric fevers),40
2014-W33,SARS,0
2014-W33,Typhoid,0
2014-W33,Viral Hepatitis A,3
2014-W33,Viral Hepatitis E,0
2014-W33,Yellow Fever,0
2014-W34,Acute Viral hepatitis B,0
2014-W34,Acute Viral hepatitis C,2
2014-W34,Avian Influenza,0
2014-W34,Campylobacterenterosis,8
2014-W34,Chikungunya Fever,0
2014-W34,Cholera,0
2014-W34,Dengue Fever,418
2014-W34,Dengue Haemorrhagic Fever,0
2014-W34,Diphtheria,0
2014-W34,Encephalitis,1
2014-W34,Haemophilus influenzae type b,1
2014-W34,"Hand, Foot Mouth Disease",464
2014-W34,Legionellosis,1
2014-W34,Malaria,1
2014-W34,Measles,3
2014-W34,Melioidosis,0
2014-W34,Meningococcal Infection,0
2014-W34,Mumps,11
2014-W34,Nipah virus infection,0
2014-W34,Paratyphoid,0
2014-W34,Pertussis,0
2014-W34,Plague,0
2014-W34,Pneumococcal Disease (invasive),6
2014-W34,Poliomyelitis,0
2014-W34,Rubella,0
2014-W34,Salmonellosis(non-enteric fevers),34
2014-W34,SARS,0
2014-W34,Typhoid,0
2014-W34,Viral Hepatitis A,2
2014-W34,Viral Hepatitis E,4
2014-W34,Yellow Fever,0
